entity_id,match_group,did,ci_lo,ci_hi,p,fdr_sig
luiz_inácio_lula_da_silva,pol_figure,-0.2871670722961422,-1.4589956601460765,0.6458950042724606,0.561,False
the_united_kingdom,ns_large,-0.321534713109334,-0.767296314239502,0.08668574094772367,0.146,False
turkey,ns_regional,-0.37640221913655597,-0.6576824982961019,-0.09070110321044922,0.01,False
india,ns_large,-0.381216208140055,-1.2480859756469724,0.4451571305592858,0.403,False
nigeria,ns_regional,-0.38632527987162274,-1.6866557598114014,0.4763453006744385,0.631,False
iran,ns_regional,-0.41361196835835773,-2.07626979748408,1.2204318046569824,0.655,False
jensen_huang,tech_leader,-0.5280258655548096,-1.6862871468067169,0.8899989008903466,0.395,False
xai,ai_lab,-0.5635615189870199,-2.030320374170939,0.8624244789282464,0.433,False
germany,ns_large,-0.566270192464193,-1.2915701866149911,0.012477715810139975,0.06,False
friedrich_merz,pol_figure,-0.6271842320760092,-1.6913509448369344,0.3540881474812825,0.246,False
china,ns_major,-0.8068801561991368,-2.070024863878884,0.4208674430847168,0.212,False
the_nationalist_movement,ideology,-0.8281724452972412,-2.862220048904419,1.0975110769271808,0.407,False
sundar_pichai,tech_leader,-0.8387173016866045,-1.5697612762451172,-0.09499114751815979,0.026,False
apple,corp_mega,-0.8455055554707845,-3.378180662790934,0.6525712013244629,0.667,False
samsung,corp_mega,-0.8618547916412354,-2.122103691101074,0.14571619033813477,0.132,False
meta_ai,ai_lab,-0.9005059401194254,-1.9474555651346843,0.17564034461975098,0.117,False
nayib_bukele,pol_figure,-0.9270391464233397,-1.6161341190338134,-0.2345447540283203,0.002,True
kassym-jomart_tokayev,pol_figure,-0.9782215754191079,-1.5407412846883137,-0.2834552129109699,0.014,False
south_korea,ns_regional,-1.0162033240000408,-2.064435662825902,-0.24638377626737085,0.0005,True
the_environmentalist_movement,ideology,-1.1823482513427734,-3.5843118031819663,0.6427615483601888,0.331,False
google_deepmind,ai_lab,-1.1928143501281738,-2.4442798594633737,0.14826218287150064,0.079,False
amazon,corp_mega,-1.3874409198760993,-4.5246264000733705,0.5413953463236485,0.435,False
microsoft,corp_mega,-1.388949950536092,-3.3908572991689048,-0.07452563246091425,0.04,False
the_labour_movement,ideology,-1.8323148886362712,-3.6449647744496665,-0.6476074854532877,0.0005,True
